TRADEDATE;OPEN;HIGH;LOW;CLOSE
08.12.2017;1562.56;1562.56;1562.56;1562.56
11.12.2017;1597.19;1597.19;1597.19;1597.19
12.12.2017;1604.91;1604.91;1604.91;1604.91
13.12.2017;1593.21;1593.21;1593.21;1593.21
14.12.2017;1609.81;1609.81;1609.81;1609.81
15.12.2017;1602.94;1602.94;1602.94;1602.94
18.12.2017;1602.66;1602.66;1602.66;1602.66
19.12.2017;1584.05;1584.05;1584.05;1584.05
20.12.2017;1576.72;1576.72;1576.72;1576.72
21.12.2017;1581.31;1581.31;1581.31;1581.31
22.12.2017;1593.56;1593.56;1593.56;1593.56
25.12.2017;1605.18;1605.18;1605.18;1605.18
26.12.2017;1606.63;1606.63;1606.63;1606.63
27.12.2017;1612.17;1612.17;1612.17;1612.17
28.12.2017;1614.5;1614.5;1614.5;1614.5
29.12.2017;1619.9;1619.9;1619.9;1619.9
03.01.2018;1660.08;1660.08;1660.08;1660.08
04.01.2018;1703.73;1703.73;1703.73;1703.73
05.01.2018;1712.49;1712.49;1712.49;1712.49
09.01.2018;1725.49;1725.49;1725.49;1725.49
10.01.2018;1733.2;1733.2;1733.2;1733.2
11.01.2018;1753.01;1753.01;1753.01;1753.01
12.01.2018;1770.3;1770.3;1770.3;1770.3
15.01.2018;1774.84;1774.84;1774.84;1774.84
16.01.2018;1770.33;1770.33;1770.33;1770.33
17.01.2018;1775.4;1775.4;1775.4;1775.4
18.01.2018;1795.86;1795.86;1795.86;1795.86
19.01.2018;1784.13;1784.13;1784.13;1784.13
22.01.2018;1804.36;1804.36;1804.36;1804.36
23.01.2018;1802.14;1802.14;1802.14;1802.14
24.01.2018;1814.17;1814.17;1814.17;1814.17
25.01.2018;1840.69;1840.69;1840.69;1840.69
26.01.2018;1806.28;1806.28;1806.28;1806.28
29.01.2018;1790.66;1790.66;1790.66;1790.66
30.01.2018;1789.77;1789.77;1789.77;1789.77
31.01.2018;1800.19;1800.19;1800.19;1800.19
